ratio_method,synthetic_added_percentage_of_real,subject_id,participant_mean_test_accuracy
baseline_real_only,0,1,0.7939814814814815
baseline_real_only,0,2,0.545138888888889
baseline_real_only,0,3,0.8680555555555557
baseline_real_only,0,4,0.6724537037037037
baseline_real_only,0,5,0.40509259259259256
baseline_real_only,0,6,0.5543981481481481
baseline_real_only,0,7,0.8726851851851851
baseline_real_only,0,8,0.758101851851852
baseline_real_only,0,9,0.7615740740740741
gaussian_cct_add_25pct_synth,25,1,0.7503858024691358
gaussian_cct_add_25pct_synth,25,2,0.4525462962962963
gaussian_cct_add_25pct_synth,25,3,0.8564814814814815
gaussian_cct_add_25pct_synth,25,4,0.5740740740740741
gaussian_cct_add_25pct_synth,25,5,0.3946759259259259
gaussian_cct_add_25pct_synth,25,6,0.5150462962962963
gaussian_cct_add_25pct_synth,25,7,0.8198302469135803
gaussian_cct_add_25pct_synth,25,8,0.7804783950617283
gaussian_cct_add_25pct_synth,25,9,0.7141203703703703
gaussian_cct_add_50pct_synth,50,1,0.7044753086419754
gaussian_cct_add_50pct_synth,50,2,0.43904320987654327
gaussian_cct_add_50pct_synth,50,3,0.8406635802469137
gaussian_cct_add_50pct_synth,50,4,0.5424382716049383
gaussian_cct_add_50pct_synth,50,5,0.33371913580246915
gaussian_cct_add_50pct_synth,50,6,0.5158179012345679
gaussian_cct_add_50pct_synth,50,7,0.7554012345679012
gaussian_cct_add_50pct_synth,50,8,0.7554012345679012
gaussian_cct_add_50pct_synth,50,9,0.7040895061728395
gaussian_cct_add_75pct_synth,75,1,0.6882716049382717
gaussian_cct_add_75pct_synth,75,2,0.43711419753086417
gaussian_cct_add_75pct_synth,75,3,0.8229166666666666
gaussian_cct_add_75pct_synth,75,4,0.5428240740740741
gaussian_cct_add_75pct_synth,75,5,0.3148148148148148
gaussian_cct_add_75pct_synth,75,6,0.49266975308641975
gaussian_cct_add_75pct_synth,75,7,0.7527006172839507
gaussian_cct_add_75pct_synth,75,8,0.7469135802469135
gaussian_cct_add_75pct_synth,75,9,0.69945987654321
gaussian_cct_add_100pct_synth,100,1,0.6817129629629631
gaussian_cct_add_100pct_synth,100,2,0.42322530864197533
gaussian_cct_add_100pct_synth,100,3,0.8302469135802468
gaussian_cct_add_100pct_synth,100,4,0.5324074074074074
gaussian_cct_add_100pct_synth,100,5,0.29629629629629634
gaussian_cct_add_100pct_synth,100,6,0.4911265432098766
gaussian_cct_add_100pct_synth,100,7,0.7430555555555555
gaussian_cct_add_100pct_synth,100,8,0.75
gaussian_cct_add_100pct_synth,100,9,0.6820987654320989
