ratio_method,subject_id,participant_test_accuracy,n_generator_conditions,n_classifier_runs,synthetic_percentage
gaussian_cct_replace_0pct_real,1,0.7939814814814815,1,3,0
gaussian_cct_replace_0pct_real,2,0.545138888888889,1,3,0
gaussian_cct_replace_0pct_real,3,0.8680555555555557,1,3,0
gaussian_cct_replace_0pct_real,4,0.6724537037037037,1,3,0
gaussian_cct_replace_0pct_real,5,0.40509259259259256,1,3,0
gaussian_cct_replace_0pct_real,6,0.5543981481481481,1,3,0
gaussian_cct_replace_0pct_real,7,0.8726851851851851,1,3,0
gaussian_cct_replace_0pct_real,8,0.758101851851852,1,3,0
gaussian_cct_replace_0pct_real,9,0.7615740740740741,1,3,0
gaussian_cct_replace_25pct_real,1,0.732638888888889,3,9,25
gaussian_cct_replace_25pct_real,2,0.4290123456790123,3,9,25
gaussian_cct_replace_25pct_real,3,0.8414351851851851,3,9,25
gaussian_cct_replace_25pct_real,4,0.5632716049382717,3,9,25
gaussian_cct_replace_25pct_real,5,0.30632716049382713,3,9,25
gaussian_cct_replace_25pct_real,6,0.4710648148148148,3,9,25
gaussian_cct_replace_25pct_real,7,0.7835648148148149,3,9,25
gaussian_cct_replace_25pct_real,8,0.7484567901234568,3,9,25
gaussian_cct_replace_25pct_real,9,0.69945987654321,3,9,25
gaussian_cct_replace_50pct_real,1,0.6705246913580248,3,9,50
gaussian_cct_replace_50pct_real,2,0.415895061728395,3,9,50
gaussian_cct_replace_50pct_real,3,0.7719907407407408,3,9,50
gaussian_cct_replace_50pct_real,4,0.5243055555555556,3,9,50
gaussian_cct_replace_50pct_real,5,0.2654320987654321,3,9,50
gaussian_cct_replace_50pct_real,6,0.46103395061728397,3,9,50
gaussian_cct_replace_50pct_real,7,0.6215277777777778,3,9,50
gaussian_cct_replace_50pct_real,8,0.7156635802469137,3,9,50
gaussian_cct_replace_50pct_real,9,0.6250000000000001,3,9,50
gaussian_cct_replace_75pct_real,1,0.5925925925925927,3,9,75
gaussian_cct_replace_75pct_real,2,0.3097993827160494,3,9,75
gaussian_cct_replace_75pct_real,3,0.6199845679012346,3,9,75
gaussian_cct_replace_75pct_real,4,0.42438271604938266,3,9,75
gaussian_cct_replace_75pct_real,5,0.2951388888888889,3,9,75
gaussian_cct_replace_75pct_real,6,0.41898148148148145,3,9,75
gaussian_cct_replace_75pct_real,7,0.5493827160493827,3,9,75
gaussian_cct_replace_75pct_real,8,0.6431327160493826,3,9,75
gaussian_cct_replace_75pct_real,9,0.6277006172839507,3,9,75
gaussian_cct_replace_100pct_real,1,0.339891975308642,3,9,100
gaussian_cct_replace_100pct_real,2,0.2584876543209877,3,9,100
gaussian_cct_replace_100pct_real,3,0.31095679012345684,3,9,100
gaussian_cct_replace_100pct_real,4,0.3298611111111111,3,9,100
gaussian_cct_replace_100pct_real,5,0.25655864197530864,3,9,100
gaussian_cct_replace_100pct_real,6,0.3171296296296296,3,9,100
gaussian_cct_replace_100pct_real,7,0.3792438271604938,3,9,100
gaussian_cct_replace_100pct_real,8,0.27816358024691357,3,9,100
gaussian_cct_replace_100pct_real,9,0.4016203703703703,3,9,100
