status,protocol_id,method,subject_id,generator_seed,classifier_seed,selected_epoch,validation_misclass,test_misclass,n_real_train_trials,n_synthetic_train_trials,n_valid_trials,n_test_trials,n_channels,n_times,train_data_type,split_file,train_data_file,runtime_seconds,notes,error
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,1,0,0,76,0.13793103448275867,0.3159722222222222,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed0.npz,53.36054112762213,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,1,0,1,63,0.13793103448275867,0.23263888888888884,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed0.npz,42.90258138626814,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,1,0,2,50,0.1724137931034483,0.28125,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed0.npz,33.07841137051582,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,1,1,0,50,0.10344827586206895,0.23263888888888884,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,35.92540732771158,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,1,1,1,75,0.10344827586206895,0.2743055555555556,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,52.49970779195428,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,1,1,2,53,0.2068965517241379,0.27083333333333337,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,42.594886884093285,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,1,2,0,50,0.10344827586206895,0.2569444444444444,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,38.874627858400345,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,1,2,1,36,0.06896551724137934,0.26041666666666663,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,42.15789031609893,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,1,2,2,78,0.13793103448275867,0.28125,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,51.496725387871265,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,2,0,0,66,0.4137931034482759,0.4965277777777778,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed0.npz,52.05852026864886,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,2,0,1,50,0.4137931034482759,0.6006944444444444,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed0.npz,49.88644723966718,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,2,0,2,54,0.4137931034482759,0.5763888888888888,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed0.npz,40.40831687673926,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,2,1,0,61,0.3793103448275862,0.5902777777777778,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed1.npz,39.81941856443882,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,2,1,1,79,0.4137931034482759,0.5243055555555556,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed1.npz,51.516331534832716,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,2,1,2,75,0.31034482758620685,0.5659722222222222,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed1.npz,66.8802492544055,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,2,2,0,42,0.3793103448275862,0.6736111111111112,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed2.npz,40.96049662679434,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,2,2,1,72,0.3793103448275862,0.5625,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed2.npz,51.42275422811508,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,2,2,2,75,0.3793103448275862,0.5486111111111112,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed2.npz,48.40633497387171,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
