ratio_method,subject_id,participant_test_accuracy,n_generator_conditions,n_classifier_runs,synthetic_percentage
vae_replace_0pct_real,1,0.7939814814814815,1,3,0
vae_replace_0pct_real,2,0.545138888888889,1,3,0
vae_replace_0pct_real,3,0.8680555555555557,1,3,0
vae_replace_0pct_real,4,0.6724537037037037,1,3,0
vae_replace_0pct_real,5,0.40509259259259256,1,3,0
vae_replace_0pct_real,6,0.5543981481481481,1,3,0
vae_replace_0pct_real,7,0.8726851851851851,1,3,0
vae_replace_0pct_real,8,0.758101851851852,1,3,0
vae_replace_0pct_real,9,0.7615740740740741,1,3,0
vae_replace_25pct_real,1,0.798611111111111,3,9,25
vae_replace_25pct_real,2,0.4976851851851853,3,9,25
vae_replace_25pct_real,3,0.8746141975308642,3,9,25
vae_replace_25pct_real,4,0.6712962962962964,3,9,25
vae_replace_25pct_real,5,0.37847222222222227,3,9,25
vae_replace_25pct_real,6,0.5405092592592592,3,9,25
vae_replace_25pct_real,7,0.8595679012345679,3,9,25
vae_replace_25pct_real,8,0.7785493827160493,3,9,25
vae_replace_25pct_real,9,0.7615740740740741,3,9,25
vae_replace_50pct_real,1,0.7700617283950617,3,9,50
vae_replace_50pct_real,2,0.5204475308641975,3,9,50
vae_replace_50pct_real,3,0.8722993827160495,3,9,50
vae_replace_50pct_real,4,0.6755401234567903,3,9,50
vae_replace_50pct_real,5,0.4255401234567901,3,9,50
vae_replace_50pct_real,6,0.5563271604938272,3,9,50
vae_replace_50pct_real,7,0.8634259259259259,3,9,50
vae_replace_50pct_real,8,0.7712191358024691,3,9,50
vae_replace_50pct_real,9,0.7615740740740741,3,9,50
vae_replace_75pct_real,1,0.7789351851851851,3,9,75
vae_replace_75pct_real,2,0.5061728395061729,3,9,75
vae_replace_75pct_real,3,0.8777006172839507,3,9,75
vae_replace_75pct_real,4,0.6647376543209877,3,9,75
vae_replace_75pct_real,5,0.3722993827160494,3,9,75
vae_replace_75pct_real,6,0.5617283950617284,3,9,75
vae_replace_75pct_real,7,0.85570987654321,3,9,75
vae_replace_75pct_real,8,0.7785493827160495,3,9,75
vae_replace_75pct_real,9,0.7608024691358025,3,9,75
vae_replace_100pct_real,1,0.7862654320987655,3,9,100
vae_replace_100pct_real,2,0.4760802469135803,3,9,100
vae_replace_100pct_real,3,0.8587962962962964,3,9,100
vae_replace_100pct_real,4,0.6631944444444445,3,9,100
vae_replace_100pct_real,5,0.41203703703703703,3,9,100
vae_replace_100pct_real,6,0.5405092592592592,3,9,100
vae_replace_100pct_real,7,0.8468364197530865,3,9,100
vae_replace_100pct_real,8,0.7800925925925926,3,9,100
vae_replace_100pct_real,9,0.76195987654321,3,9,100
